
2025/01/12 (20:07:40) | ===> btop++ v.1.4.0
2025/01/12 (20:07:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (23:59:18) | ===> btop++ v.1.4.0
2025/01/13 (23:59:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (01:24:42) | ===> btop++ v.1.4.0
2025/01/18 (01:24:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:01:07) | ===> btop++ v.1.4.0
2025/01/27 (00:01:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:02:06) | ===> btop++ v.1.4.0
2025/01/27 (00:02:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:05:14) | ===> btop++ v.1.4.0
2025/01/27 (00:05:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:05:43) | ===> btop++ v.1.4.0
2025/01/27 (00:05:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:06:22) | ===> btop++ v.1.4.0
2025/01/27 (00:06:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (00:07:37) | ===> btop++ v.1.4.0
2025/01/27 (00:07:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (21:11:39) | ===> btop++ v.1.4.0
2025/02/05 (21:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:14:20) | ===> btop++ v.1.4.0
2025/02/08 (17:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:27:27) | ===> btop++ v.1.4.0
2025/02/08 (19:27:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:29:36) | ===> btop++ v.1.4.0
2025/02/08 (19:29:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:31:03) | ===> btop++ v.1.4.0
2025/02/08 (19:31:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:32:32) | ===> btop++ v.1.4.0
2025/02/08 (19:32:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:32:46) | ===> btop++ v.1.4.0
2025/02/08 (19:32:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (19:32:47) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (19:32:57) | ===> btop++ v.1.4.0
2025/02/08 (19:32:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:33:30) | ===> btop++ v.1.4.0
2025/02/08 (19:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:34:06) | ===> btop++ v.1.4.0
2025/02/08 (19:34:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (19:34:08) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (00:04:55) | ===> btop++ v.1.4.0
2025/02/09 (00:04:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:48:00) | ===> btop++ v.1.4.0
2025/02/09 (11:48:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:49:14) | ===> btop++ v.1.4.0
2025/02/09 (11:49:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:49:59) | ===> btop++ v.1.4.0
2025/02/09 (11:49:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:50:49) | ===> btop++ v.1.4.0
2025/02/09 (11:50:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (12:46:45) | ===> btop++ v.1.4.0
2025/02/09 (12:46:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (12:46:57) | ===> btop++ v.1.4.0
2025/02/09 (12:46:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (23:12:48) | ===> btop++ v.1.4.0
2025/02/10 (23:12:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (23:13:01) | ===> btop++ v.1.4.0
2025/02/10 (23:13:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (22:33:07) | ===> btop++ v.1.4.0
2025/02/11 (22:33:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:10:35) | ===> btop++ v.1.4.0
2025/02/13 (00:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:10:52) | ===> btop++ v.1.4.0
